Day: 13, animals: 2, grass: 24, averageEnergy: 11, avgLifeTime: 8
Day: 14, animals: 2, grass: 26, averageEnergy: 10, avgLifeTime: 8
Day: 15, animals: 2, grass: 27, averageEnergy: 13, avgLifeTime: 8
Day: 16, animals: 2, grass: 29, averageEnergy: 12, avgLifeTime: 8
Day: 17, animals: 2, grass: 31, averageEnergy: 11, avgLifeTime: 8
Day: 18, animals: 2, grass: 33, averageEnergy: 10, avgLifeTime: 8
Day: 19, animals: 2, grass: 35, averageEnergy: 9, avgLifeTime: 8
Day: 20, animals: 2, grass: 35, averageEnergy: 12, avgLifeTime: 8
Day: 21, animals: 2, grass: 36, averageEnergy: 11, avgLifeTime: 8
Day: 22, animals: 2, grass: 37, averageEnergy: 10, avgLifeTime: 8
Day: 23, animals: 2, grass: 38, averageEnergy: 9, avgLifeTime: 8
Day: 24, animals: 2, grass: 39, averageEnergy: 8, avgLifeTime: 8
Day: 25, animals: 2, grass: 40, averageEnergy: 7, avgLifeTime: 8
Day: 26, animals: 2, grass: 41, averageEnergy: 6, avgLifeTime: 8
Day: 27, animals: 2, grass: 42, averageEnergy: 5, avgLifeTime: 8
Day: 28, animals: 2, grass: 42, averageEnergy: 8, avgLifeTime: 8
Day: 29, animals: 2, grass: 42, averageEnergy: 11, avgLifeTime: 8
Day: 30, animals: 2, grass: 44, averageEnergy: 10, avgLifeTime: 8
Day: 31, animals: 2, grass: 44, averageEnergy: 13, avgLifeTime: 8
Day: 32, animals: 2, grass: 45, averageEnergy: 16, avgLifeTime: 8
Day: 33, animals: 2, grass: 46, averageEnergy: 15, avgLifeTime: 8
Day: 34, animals: 2, grass: 47, averageEnergy: 18, avgLifeTime: 8
Day: 35, animals: 2, grass: 48, averageEnergy: 17, avgLifeTime: 8
Day: 36, animals: 2, grass: 49, averageEnergy: 20, avgLifeTime: 8
Day: 37, animals: 2, grass: 51, averageEnergy: 19, avgLifeTime: 8
Day: 38, animals: 2, grass: 52, averageEnergy: 18, avgLifeTime: 8
Day: 39, animals: 2, grass: 52, averageEnergy: 21, avgLifeTime: 8
Day: 40, animals: 2, grass: 53, averageEnergy: 20, avgLifeTime: 8
Day: 41, animals: 1, grass: 53, averageEnergy: 47, avgLifeTime: 18
Day: 42, animals: 1, grass: 54, averageEnergy: 46, avgLifeTime: 18
Day: 43, animals: 1, grass: 55, averageEnergy: 53, avgLifeTime: 18
Day: 44, animals: 1, grass: 56, averageEnergy: 60, avgLifeTime: 18
Day: 45, animals: 1, grass: 57, averageEnergy: 59, avgLifeTime: 18
Day: 46, animals: 1, grass: 58, averageEnergy: 66, avgLifeTime: 18
Day: 47, animals: 1, grass: 58, averageEnergy: 73, avgLifeTime: 18
Day: 48, animals: 1, grass: 59, averageEnergy: 80, avgLifeTime: 18
Day: 49, animals: 1, grass: 60, averageEnergy: 87, avgLifeTime: 18
Day: 50, animals: 1, grass: 61, averageEnergy: 86, avgLifeTime: 18
Day: 51, animals: 1, grass: 62, averageEnergy: 93, avgLifeTime: 18
Day: 52, animals: 1, grass: 64, averageEnergy: 92, avgLifeTime: 18
Day: 53, animals: 1, grass: 64, averageEnergy: 99, avgLifeTime: 18
Day: 54, animals: 1, grass: 64, averageEnergy: 106, avgLifeTime: 18
Day: 55, animals: 1, grass: 64, averageEnergy: 113, avgLifeTime: 18
Day: 56, animals: 1, grass: 64, averageEnergy: 120, avgLifeTime: 18
Day: 57, animals: 1, grass: 64, averageEnergy: 127, avgLifeTime: 18
Day: 58, animals: 1, grass: 65, averageEnergy: 126, avgLifeTime: 18
Day: 59, animals: 1, grass: 66, averageEnergy: 125, avgLifeTime: 18
Day: 60, animals: 1, grass: 66, averageEnergy: 132, avgLifeTime: 18
Day: 61, animals: 1, grass: 67, averageEnergy: 131, avgLifeTime: 18
Day: 62, animals: 1, grass: 68, averageEnergy: 130, avgLifeTime: 18
Day: 63, animals: 1, grass: 69, averageEnergy: 129, avgLifeTime: 18
Day: 64, animals: 1, grass: 70, averageEnergy: 128, avgLifeTime: 18
Day: 65, animals: 1, grass: 71, averageEnergy: 127, avgLifeTime: 18
Day: 66, animals: 1, grass: 71, averageEnergy: 134, avgLifeTime: 18
Day: 67, animals: 1, grass: 71, averageEnergy: 141, avgLifeTime: 18
Day: 68, animals: 1, grass: 72, averageEnergy: 140, avgLifeTime: 18
Day: 69, animals: 1, grass: 73, averageEnergy: 139, avgLifeTime: 18
Day: 70, animals: 1, grass: 73, averageEnergy: 146, avgLifeTime: 18
Day: 71, animals: 1, grass: 73, averageEnergy: 153, avgLifeTime: 18
Day: 72, animals: 1, grass: 74, averageEnergy: 152, avgLifeTime: 18
Day: 73, animals: 1, grass: 74, averageEnergy: 159, avgLifeTime: 18
Day: 74, animals: 1, grass: 75, averageEnergy: 158, avgLifeTime: 18
Day: 75, animals: 1, grass: 76, averageEnergy: 157, avgLifeTime: 18
Day: 76, animals: 1, grass: 76, averageEnergy: 164, avgLifeTime: 18
Day: 77, animals: 1, grass: 76, averageEnergy: 171, avgLifeTime: 18
Day: 78, animals: 1, grass: 77, averageEnergy: 170, avgLifeTime: 18
Day: 79, animals: 1, grass: 78, averageEnergy: 169, avgLifeTime: 18
Day: 80, animals: 1, grass: 79, averageEnergy: 168, avgLifeTime: 18
Day: 81, animals: 1, grass: 80, averageEnergy: 167, avgLifeTime: 18
Day: 82, animals: 1, grass: 80, averageEnergy: 174, avgLifeTime: 18
